Row	FieldName	OccurrenceCount	OccurrencePercentage	Use?
226	colorKey	3	0.01	
227	sizeByData	3	0.01	
228	lineBy	3	0.01	
229	lineDecoration	3	0.01	
230	legendOrder	3	0.01	
231	motionBy	3	0.01	
232	nodeSizeScaleFactor	3	0.01	
233	nodeColor	3	0.01	
234	networkColaSymmetricDiffLinkLengths	3	0.01	
235	showNodeNameThreshold	3	0.01	
236	decorationsPosition	3	0.01	
237	calculateLayout	3	0.01	
238	xAxisTransform	3	0.01	
239	xAxisExact	3	0.01	
240	legendBoxColor	3	0.01	
241	yAxisTransform	3	0.01	
242	vennGroups	3	0.01	
243	violinScale	3	0.01	
244	swimStatus	2	0	
245	swimEnd	2	0	
246	swimHigh	2	0	
247	swimHighCap	2	0	
248	swimDurable	2	0	
249	swimStart	2	0	
250	stackBy	2	0	
251	summaryType	2	0	
252	maxSmpStringLen	2	0	
253	boxplotMean	2	0	
254	boxplotMeanColor	2	0	
255	boxplotMeanColorBorder	2	0	
256	boxplotMedianColor	2	0	
257	boxplotMedianWidth	2	0	
258	binAlignment	2	0	
259	bubbleColor	2	0	
260	bubbleLabelLineType	2	0	
261	bubbleLabelPosition	2	0	
262	ringGraphWeight	2	0	
263	circularLabelsAlign	2	0	
264	overlayScaleFontFactor	2	0	
265	contourFilled	2	0	
266	layoutConfig	2	0	
267	mapPropertyId	2	0	
268	axisTickFontStyle	2	0	
269	dotplotType	2	0	
270	errorBarsColor	2	0	
271	errorBarsType	2	0	
272	sizeByShowLegend	2	0	
273	layoutBoxShow	2	0	
274	isGraphTime	2	0	
275	timeFormat	2	0	
276	fishCloneLabels	2	0	
277	outline3DColor	2	0	
278	setMax	2	0	
279	setMin	2	0	
280	dataPointSize	2	0	
281	heatmapCellBoxColor	2	0	
282	highlightVar	2	0	
283	showVarOverlaysLegend	2	0	
284	varLabelScaleFontFactor	2	0	
285	showHistogramPath	2	0	
286	layoutLabelShow	2	0	
287	barLollipopFactor	2	0	
288	leafletZoomAlphaColor	2	0	
289	mapMarkerShapeScaleFactor	2	0	
290	mapMarkerShape	2	0	
291	meterVar	2	0	
292	is3DNetwork	2	0	
293	networkColaFlowLayoutSeparation	2	0	
294	networkColaFlowLayoutAxis	2	0	
295	edgeThickness	2	0	
296	networkColaLinkDistance	2	0	
297	nodeScaleFontFactor	2	0	
298	nodeFontColor	2	0	
299	decorationsType	2	0	
300	networkNodesOnTop	2	0	
301	networkFreeze	2	0	
302	preScaleNetwork	2	0	
303	adjustBezier	2	0	
304	appendNetworkData	2	0	
305	xAxisTransformTicks	2	0	
306	pieSegmentPrecision	2	0	
307	pieSegmentSeparation	2	0	
308	pieSegmentLabels	2	0	
309	sankeyNodesColor	2	0	
310	yAxisShow	2	0	
311	yAxisTicksMajorShow	2	0	
312	scatterOutlineThreshold	2	0	
313	gradient	2	0	
314	heatmapType	2	0	
315	legendTextFontStyle	1	0	
316	plotByVariable	1	0	
317	is3DPlot	1	0	
318	x3DRatio	1	0	
319	xAxis2TickFormat	1	0	
320	boxplotOutliersRatio	1	0	
321	boxplotHingeFunction	1	0	
322	boxplotType	1	0	
323	rAxis	1	0	
324	circularCenterProportion	1	0	
325	circularAnchorsAlign	1	0	
326	circularAnchors2Align	1	0	
327	arcSegmentsRadius	1	0	
328	overlayLevelOrientation	1	0	
329	showContourDataPoints	1	0	
330	correlationType	1	0	
331	correlationAnchorLegend	1	0	
332	correlationAnchorLegendAlignWidth	1	0	
333	asDOE	1	0	
334	yAxisHistogramHeight	1	0	
335	xAxisHistogramHeight	1	0	
336	sortDir	1	0	
337	xAxis2Title	1	0	
338	smpLabelImage	1	0	
339	images	1	0	
340	smpLabelImageRound	1	0	
341	fonts	1	0	
342	dotplotOutlineThreshold	1	0	
343	maxFontSize	1	0	
344	varLabelColor	1	0	
345	fishAxisLabels	1	0	
346	fishSeparateIndependentClones	1	0	
347	setMinZ	1	0	
348	show3DGrid	1	0	
349	setMaxZ	1	0	
350	ganttDependencyEnd	1	0	
351	ganttDependencyThickness	1	0	
352	ganttDependencyColor	1	0	
353	featureStaggered	1	0	
354	ideogramShowFullChromosome	1	0	
355	colorSpectrumBreaks	1	0	
356	highlightSmp	1	0	
357	shapeByData	1	0	
358	outlineBy	1	0	
359	outlineByData	1	0	
360	showHeatmapIndicator	1	0	
361	splitVariablesBy	1	0	
362	showValueOverlays	1	0	
363	smpTitleLabelPosition	1	0	
364	overlayFontStyle	1	0	
365	varTitleLabelPosition	1	0	
366	dendrogramHeight	1	0	
367	binplotBinWidth	1	0	
368	showFilledHistogramPath	1	0	
369	histogramBinWidth	1	0	
370	histogramAsDotplot	1	0	
371	evenColor	1	0	
372	lineErrorType	1	0	
373	ribbonBy	1	0	
374	quantiles	1	0	
375	fitLineColor	1	0	
376	showQuantileRegressionFit	1	0	
377	barLollipopOpen	1	0	
378	mapOutlineColor	1	0	
379	mapColor	1	0	
380	reproduceTime	1	0	
381	mapConfigFeatures	1	0	
382	mapGraticuleShow	1	0	
383	mapGraticuleType	1	0	
384	networkColaGridSnapIterations	1	0	
385	networkColaHandleDisconnected	1	0	
386	showNodeNameSizeThreshold	1	0	
387	sizeNodeBy	1	0	
388	networkFreezeOnLoad	1	0	
389	coordinateNetworkConvexHullCommunityColor	1	0	
390	showNetworkCommunities	1	0	
391	decorationsHeight	1	0	
392	sizeEdgeBy	1	0	
393	networkConvergenceThreshold	1	0	
394	patternByData	1	0	
395	showPieGrid	1	0	
396	layout	1	0	
397	showPieSampleLabel	1	0	
398	pieType	1	0	
399	showHistogramDataPoints	1	0	
400	showHistogramQuantiles	1	0	
401	sankeyAxes	1	0	
402	scheme	1	0	
403	showRegressionFullRange	1	0	
404	citationScaleFontFactor	1	0	
405	decorationsBorderColor	1	0	
406	decorationsBackgroundColor	1	0	
407	hoverTemplate	1	0	
408	visiumFlip	1	0	
409	manhattanMarkerPosition	1	0	
410	chromosomeLengths	1	0	
411	manhattanMarkerChromosomeNumber	1	0	
412	manhattanMarkerLogPValue	1	0	
413	ellipseBy	1	0	
414	zAxisExact	1	0	
415	foreground	1	0	
416	layoutLabelColor	1	0	
417	patterns	1	0	
418	scatterStreamWiggles	1	0	
419	decorationsClipped	1	0	
420	yAxisTickBottomShow	1	0	
421	yAxisTickTopShow	1	0	
422	yAxisTicks	1	0	
423	xAxisTickSize	1	0	
424	xAxisTickLineType	1	0	
425	legendBackgroundBorderColor	1	0	
426	treeCircular	1	0	
427	violinTrim	1	0	
428	boxplotColor	1	0	
429	violinColor	1	0	
